== n4 扫描口径 v2：重置重审（排除 frozen 簿记）
== n4 扫描: files=437 hits=211
== n4 monash:traffic_hourly T319 完成
== n4 monash:traffic_hourly T323 完成
== n4 monash:traffic_hourly T325 完成
== n4 monash:traffic_hourly T326 完成
== n4 monash:traffic_hourly T327 完成
== n4 monash:traffic_hourly T329 完成
== n4 monash:traffic_hourly T330 完成
== n4 monash:traffic_hourly T333 完成
== n4 monash:traffic_hourly T338 完成
== n4 monash:traffic_hourly T342 完成
== n4 monash:traffic_hourly T344 完成
== n4 monash:traffic_hourly T346 完成
== n4 monash:traffic_hourly T348 完成
== n4 monash:traffic_hourly T349 完成
== n4 monash:traffic_hourly T350 完成
== n4 monash:traffic_hourly T352 完成
== n4 monash:traffic_hourly T355 完成
== n4 monash:traffic_hourly T357 完成
== n4 monash:traffic_hourly T359 完成
== n4 monash:traffic_hourly T360 完成
== n4 monash:traffic_hourly T365 完成
== n4 monash:traffic_hourly T373 完成
== n4 monash:traffic_hourly T375 完成
== n4 monash:traffic_hourly T376 完成
== n4 monash:traffic_hourly T379 完成
== n4 monash:traffic_hourly T380 完成
== n4 monash:traffic_hourly T385 完成
== n4 monash:traffic_hourly T388 完成
== n4 monash:traffic_hourly T389 完成
== n4 monash:traffic_hourly T391 完成
== n4 monash:traffic_hourly T395 完成
== n4 monash:traffic_hourly T398 完成
== n4 monash:traffic_hourly T399 完成
== n4 monash:traffic_hourly T401 完成
== n4 monash:traffic_hourly T402 完成
== n4 monash:traffic_hourly T412 完成
== n4 monash:traffic_hourly T413 完成
== n4 monash:traffic_hourly T414 完成
== n4 monash:traffic_hourly T416 完成
== n4 monash:traffic_hourly T418 完成
== n4 monash:traffic_hourly T419 完成
== n4 monash:traffic_hourly T422 完成
== n4 monash:traffic_hourly T423 完成
== n4 monash:traffic_hourly T426 完成
== n4 monash:traffic_hourly T427 完成
== n4 monash:traffic_hourly T428 完成
== n4 monash:traffic_hourly T430 完成
== n4 monash:traffic_hourly T432 完成
== n4 monash:traffic_hourly T433 完成
== n4 monash:traffic_hourly T438 完成
== n4 monash:traffic_hourly T439 完成
== n4 monash:traffic_hourly T441 完成
== n4 monash:traffic_hourly T443 完成
== n4 monash:traffic_hourly T444 完成
== n4 monash:traffic_hourly T448 完成
== n4 monash:traffic_hourly T453 完成
== n4 monash:traffic_hourly T456 完成
== n4 monash:traffic_hourly T457 完成
== n4 monash:traffic_hourly T458 完成
== n4 monash:traffic_hourly T459 完成
== n4 monash:traffic_hourly T460 完成
== n4 monash:traffic_hourly T469 完成
== n4 monash:traffic_hourly T481 完成
== n4 monash:traffic_hourly T483 完成
== n4 monash:traffic_hourly T484 完成
== n4 monash:traffic_hourly T486 完成
== n4 monash:traffic_hourly T487 完成
== n4 monash:traffic_hourly T489 完成
== n4 monash:traffic_hourly T490 完成
== n4 monash:traffic_hourly T496 完成
== n4 monash:traffic_hourly T499 完成
== n4 monash:traffic_hourly T500 完成
== n4 monash:traffic_hourly T502 完成
== n4 monash:traffic_hourly T508 完成
== n4 monash:traffic_hourly T509 完成
== n4 monash:traffic_hourly T517 完成
== n4 monash:traffic_hourly T521 完成
== n4 monash:traffic_hourly T522 完成
== n4 monash:traffic_hourly T523 完成
== n4 monash:traffic_hourly T524 完成
== n4 monash:traffic_hourly T525 完成
== n4 monash:traffic_hourly T527 完成
== n4 monash:traffic_hourly T531 完成
== n4 monash:traffic_hourly T534 完成
== n4 monash:traffic_hourly T537 完成
== n4 monash:traffic_hourly T538 完成
== n4 monash:traffic_hourly T539 完成
== n4 monash:traffic_hourly T544 完成
== n4 monash:traffic_hourly T545 完成
== n4 monash:traffic_hourly T548 完成
== n4 monash:traffic_hourly T549 完成
== n4 monash:traffic_hourly T552 完成
== n4 monash:traffic_hourly T553 完成
== n4 monash:traffic_hourly T555 完成
== n4 monash:traffic_hourly T556 完成
== n4 monash:traffic_hourly T557 完成
== n4 monash:traffic_hourly T558 完成
== n4 monash:traffic_hourly T562 完成
== n4 monash:traffic_hourly T564 完成
== n4 monash:traffic_hourly T570 完成
== n4 monash:traffic_hourly T572 完成
== n4 monash:traffic_hourly T573 完成
== n4 monash:traffic_hourly T575 完成
== n4 monash:traffic_hourly T577 完成
== n4 monash:traffic_hourly T578 完成
== n4 monash:traffic_hourly T579 完成
== n4 monash:traffic_hourly T581 完成
== n4 monash:traffic_hourly T582 完成
== n4 monash:traffic_hourly T583 完成
== n4 monash:traffic_hourly T586 完成
== n4 monash:traffic_hourly T587 完成
== n4 monash:traffic_hourly T589 完成
== n4 monash:traffic_hourly T594 完成
== n4 monash:traffic_hourly T598 完成
== n4 monash:traffic_hourly T604 完成
== n4 monash:traffic_hourly T611 完成
== n4 monash:traffic_hourly T612 完成
== n4 monash:traffic_hourly T613 完成
== n4 monash:traffic_hourly T616 完成
== n4 monash:traffic_hourly T617 完成
== n4 monash:traffic_hourly T620 完成
== n4 monash:traffic_hourly T623 完成
== n4 monash:traffic_hourly T626 完成
== n4 monash:traffic_hourly T628 完成
== n4 monash:traffic_hourly T630 完成
== n4 monash:traffic_hourly T631 完成
== n4 monash:traffic_hourly T632 完成
== n4 monash:traffic_hourly T634 完成
== n4 monash:traffic_hourly T635 完成
== n4 monash:traffic_hourly T640 完成
== n4 monash:traffic_hourly T645 完成
== n4 monash:traffic_hourly T646 完成
== n4 monash:traffic_hourly T648 完成
== n4 monash:traffic_hourly T650 完成
== n4 monash:traffic_hourly T652 完成
== n4 monash:traffic_hourly T654 完成
== n4 monash:traffic_hourly T655 完成
== n4 monash:traffic_hourly T658 完成
== n4 monash:traffic_hourly T661 完成
== n4 monash:traffic_hourly T662 完成
== n4 monash:traffic_hourly T664 完成
== n4 monash:traffic_hourly T671 完成
== n4 monash:traffic_hourly T672 完成
== n4 monash:traffic_hourly T673 完成
== n4 monash:traffic_hourly T678 完成
== n4 monash:traffic_hourly T681 完成
== n4 monash:traffic_hourly T683 完成
== n4 monash:traffic_hourly T692 完成
== n4 monash:traffic_hourly T693 完成
== n4 monash:traffic_hourly T694 完成
== n4 monash:traffic_hourly T698 完成
== n4 monash:traffic_hourly T700 完成
== n4 monash:traffic_hourly T702 完成
== n4 monash:traffic_hourly T706 完成
== n4 monash:traffic_hourly T707 完成
== n4 monash:traffic_hourly T710 完成
== n4 monash:traffic_hourly T712 完成
== n4 monash:traffic_hourly T716 完成
== n4 monash:traffic_hourly T719 完成
== n4 monash:traffic_hourly T721 完成
== n4 monash:traffic_hourly T726 完成
== n4 monash:traffic_hourly T728 完成
== n4 monash:traffic_hourly T729 完成
== n4 monash:traffic_hourly T735 完成
== n4 monash:traffic_hourly T736 完成
== n4 monash:traffic_hourly T740 完成
== n4 monash:traffic_hourly T741 完成
== n4 monash:traffic_hourly T746 完成
== n4 monash:traffic_hourly T747 完成
== n4 monash:traffic_hourly T748 完成
== n4 monash:traffic_hourly T751 完成
== n4 monash:traffic_hourly T754 完成
== n4 monash:traffic_hourly T756 完成
== n4 monash:traffic_hourly T760 完成
== n4 monash:traffic_hourly T761 完成
== n4 monash:traffic_hourly T771 完成
== n4 monash:traffic_hourly T772 完成
== n4 monash:traffic_hourly T775 完成
== n4 monash:traffic_hourly T776 完成
== n4 monash:traffic_hourly T780 完成
== n4 monash:traffic_hourly T783 完成
== n4 monash:traffic_hourly T784 完成
== n4 monash:traffic_hourly T788 完成
== n4 monash:traffic_hourly T791 完成
== n4 monash:traffic_hourly T793 完成
== n4 monash:traffic_hourly T796 完成
== n4 monash:traffic_hourly T800 完成
== n4 monash:traffic_hourly T802 完成
== n4 monash:traffic_hourly T806 完成
== n4 monash:traffic_hourly T808 完成
== n4 monash:traffic_hourly T812 完成
== n4 monash:traffic_hourly T815 完成
== n4 monash:traffic_hourly T816 完成
== n4 monash:traffic_hourly T818 完成
== n4 monash:traffic_hourly T819 完成
== n4 monash:traffic_hourly T820 完成
== n4 monash:traffic_hourly T821 完成
== n4 monash:traffic_hourly T824 完成
== n4 monash:traffic_hourly T825 完成
== n4 monash:traffic_hourly T827 完成
== n4 monash:traffic_hourly T828 完成
== n4 monash:traffic_hourly T829 完成
== n4 monash:traffic_hourly T830 完成
== n4 monash:traffic_hourly T832 完成
== n4 monash:traffic_hourly T845 完成
== n4 monash:traffic_hourly T846 完成
== n4 monash:traffic_hourly T847 完成
== n4 monash:traffic_hourly T849 完成
== n4 monash:traffic_hourly T851 完成
== n4 monash:traffic_hourly T853 完成
== n4 monash:traffic_hourly T857 完成
== n4 monash:traffic_hourly T858 完成
== n4 monash:traffic_hourly: eligible=778
== n4 uci_electricity_load_diagrams MT_002 完成
== n4 uci_electricity_load_diagrams MT_005 完成
== n4 uci_electricity_load_diagrams MT_006 完成
== n4 uci_electricity_load_diagrams MT_008 完成
== n4 uci_electricity_load_diagrams MT_009 完成
== n4 uci_electricity_load_diagrams MT_010 完成
== n4 uci_electricity_load_diagrams MT_012 完成
== n4 uci_electricity_load_diagrams MT_014 完成
== n4 uci_electricity_load_diagrams MT_016 完成
== n4 uci_electricity_load_diagrams MT_019 完成
== n4 uci_electricity_load_diagrams MT_021 完成
== n4 uci_electricity_load_diagrams MT_023 完成
== n4 uci_electricity_load_diagrams MT_025 完成
== n4 uci_electricity_load_diagrams MT_026 完成
== n4 uci_electricity_load_diagrams MT_030 完成
== n4 uci_electricity_load_diagrams MT_031 完成
== n4 uci_electricity_load_diagrams MT_037 完成
== n4 uci_electricity_load_diagrams MT_039 完成
== n4 uci_electricity_load_diagrams MT_041 完成
== n4 uci_electricity_load_diagrams MT_042 完成
== n4 uci_electricity_load_diagrams MT_043 完成
== n4 uci_electricity_load_diagrams MT_044 完成
== n4 uci_electricity_load_diagrams MT_045 完成
== n4 uci_electricity_load_diagrams MT_047 完成
== n4 uci_electricity_load_diagrams MT_049 完成
== n4 uci_electricity_load_diagrams MT_052 完成
== n4 uci_electricity_load_diagrams MT_054 完成
== n4 uci_electricity_load_diagrams MT_056 完成
== n4 uci_electricity_load_diagrams MT_058 完成
== n4 uci_electricity_load_diagrams MT_064 完成
== n4 uci_electricity_load_diagrams MT_066 完成
== n4 uci_electricity_load_diagrams MT_070 完成
== n4 uci_electricity_load_diagrams MT_071 完成
== n4 uci_electricity_load_diagrams MT_073 完成
== n4 uci_electricity_load_diagrams MT_074 完成
== n4 uci_electricity_load_diagrams MT_075 完成
== n4 uci_electricity_load_diagrams MT_078 完成
== n4 uci_electricity_load_diagrams MT_080 完成
== n4 uci_electricity_load_diagrams MT_081 完成
== n4 uci_electricity_load_diagrams MT_083 完成
== n4 uci_electricity_load_diagrams MT_089 完成
== n4 uci_electricity_load_diagrams MT_092 完成
== n4 uci_electricity_load_diagrams MT_095 完成
== n4 uci_electricity_load_diagrams MT_096 完成
== n4 uci_electricity_load_diagrams MT_097 完成
== n4 uci_electricity_load_diagrams MT_098 完成
== n4 uci_electricity_load_diagrams MT_103 完成
== n4 uci_electricity_load_diagrams MT_108 完成
== n4 uci_electricity_load_diagrams MT_109 完成
== n4 uci_electricity_load_diagrams MT_111 完成
== n4 uci_electricity_load_diagrams MT_114 完成
== n4 uci_electricity_load_diagrams MT_115 完成
== n4 uci_electricity_load_diagrams MT_117 完成
== n4 uci_electricity_load_diagrams MT_118 完成
== n4 uci_electricity_load_diagrams MT_119 完成
== n4 uci_electricity_load_diagrams MT_120 完成
== n4 uci_electricity_load_diagrams MT_121 完成
== n4 uci_electricity_load_diagrams MT_127 完成
== n4 uci_electricity_load_diagrams MT_130 完成
== n4 uci_electricity_load_diagrams MT_133 完成
== n4 uci_electricity_load_diagrams MT_135 完成
== n4 uci_electricity_load_diagrams MT_136 完成
== n4 uci_electricity_load_diagrams MT_137 完成
== n4 uci_electricity_load_diagrams MT_142 完成
== n4 uci_electricity_load_diagrams MT_143 完成
== n4 uci_electricity_load_diagrams MT_145 完成
== n4 uci_electricity_load_diagrams MT_146 完成
== n4 uci_electricity_load_diagrams MT_148 完成
== n4 uci_electricity_load_diagrams MT_149 完成
== n4 uci_electricity_load_diagrams MT_150 完成
== n4 uci_electricity_load_diagrams MT_151 完成
== n4 uci_electricity_load_diagrams MT_155 完成
== n4 uci_electricity_load_diagrams MT_156 完成
== n4 uci_electricity_load_diagrams MT_159 完成
== n4 uci_electricity_load_diagrams MT_161 完成
== n4 uci_electricity_load_diagrams MT_163 完成
== n4 uci_electricity_load_diagrams MT_167 完成
== n4 uci_electricity_load_diagrams MT_168 完成
== n4 uci_electricity_load_diagrams MT_170 完成
== n4 uci_electricity_load_diagrams MT_173 完成
== n4 uci_electricity_load_diagrams MT_174 完成
== n4 uci_electricity_load_diagrams MT_175 完成
== n4 uci_electricity_load_diagrams MT_176 完成
== n4 uci_electricity_load_diagrams MT_177 完成
== n4 uci_electricity_load_diagrams MT_179 完成
== n4 uci_electricity_load_diagrams MT_181 完成
== n4 uci_electricity_load_diagrams MT_184 完成
== n4 uci_electricity_load_diagrams MT_185 完成
== n4 uci_electricity_load_diagrams MT_187 完成
== n4 uci_electricity_load_diagrams MT_188 完成
== n4 uci_electricity_load_diagrams MT_193 完成
== n4 uci_electricity_load_diagrams MT_196 完成
== n4 uci_electricity_load_diagrams MT_197 完成
== n4 uci_electricity_load_diagrams MT_200 完成
== n4 uci_electricity_load_diagrams MT_204 完成
== n4 uci_electricity_load_diagrams MT_207 完成
== n4 uci_electricity_load_diagrams MT_210 完成
== n4 uci_electricity_load_diagrams MT_212 完成
== n4 uci_electricity_load_diagrams MT_214 完成
== n4 uci_electricity_load_diagrams MT_221 完成
== n4 uci_electricity_load_diagrams MT_222 完成
== n4 uci_electricity_load_diagrams MT_224 完成
== n4 uci_electricity_load_diagrams MT_226 完成
== n4 uci_electricity_load_diagrams MT_229 完成
== n4 uci_electricity_load_diagrams MT_230 完成
== n4 uci_electricity_load_diagrams MT_235 完成
== n4 uci_electricity_load_diagrams MT_237 完成
== n4 uci_electricity_load_diagrams MT_238 完成
== n4 uci_electricity_load_diagrams MT_241 完成
== n4 uci_electricity_load_diagrams MT_244 完成
== n4 uci_electricity_load_diagrams MT_245 完成
== n4 uci_electricity_load_diagrams MT_250 完成
== n4 uci_electricity_load_diagrams MT_253 完成
== n4 uci_electricity_load_diagrams MT_254 完成
== n4 uci_electricity_load_diagrams MT_262 完成
== n4 uci_electricity_load_diagrams MT_263 完成
== n4 uci_electricity_load_diagrams MT_270 完成
== n4 uci_electricity_load_diagrams MT_272 完成
== n4 uci_electricity_load_diagrams MT_273 完成
== n4 uci_electricity_load_diagrams MT_275 完成
== n4 uci_electricity_load_diagrams MT_277 完成
== n4 uci_electricity_load_diagrams MT_281 完成
== n4 uci_electricity_load_diagrams MT_284 完成
== n4 uci_electricity_load_diagrams MT_287 完成
== n4 uci_electricity_load_diagrams MT_290 完成
== n4 uci_electricity_load_diagrams MT_304 完成
== n4 uci_electricity_load_diagrams MT_306 完成
== n4 uci_electricity_load_diagrams MT_309 完成
== n4 uci_electricity_load_diagrams MT_316 完成
== n4 uci_electricity_load_diagrams MT_318 完成
== n4 uci_electricity_load_diagrams MT_322 完成
== n4 uci_electricity_load_diagrams MT_325 完成
== n4 uci_electricity_load_diagrams MT_327 完成
== n4 uci_electricity_load_diagrams MT_330 完成
== n4 uci_electricity_load_diagrams MT_333 完成
== n4 uci_electricity_load_diagrams MT_340 完成
== n4 uci_electricity_load_diagrams MT_342 完成
== n4 uci_electricity_load_diagrams MT_344 完成
== n4 uci_electricity_load_diagrams MT_345 完成
== n4 uci_electricity_load_diagrams MT_351 完成
== n4 uci_electricity_load_diagrams MT_353 完成
== n4 uci_electricity_load_diagrams MT_354 完成
== n4 uci_electricity_load_diagrams MT_356 完成
== n4 uci_electricity_load_diagrams MT_358 完成
== n4 uci_electricity_load_diagrams MT_361 完成
== n4 uci_electricity_load_diagrams MT_364 完成
== n4 uci_electricity_load_diagrams MT_368 完成
== n4 uci_electricity_load_diagrams MT_369 完成
== n4 uci_electricity_load_diagrams MT_370 完成
== n4 uci_electricity_load_diagrams: eligible=215
== n4 metr_la 767542 完成
== n4 metr_la 767620 完成
== n4 metr_la 737529 完成
== n4 metr_la 765273 完成
== n4 metr_la 769953 完成
== n4 metr_la 769819 完成
== n4 metr_la 717804 完成
== n4 metr_la 773013 完成
== n4 metr_la 764424 完成
== n4 metr_la 769941 完成
== n4 metr_la 764766 完成
== n4 metr_la 717497 完成
== n4 metr_la 767585 完成
== n4 metr_la 764120 完成
== n4 metr_la 718089 完成
== n4 metr_la 718499 完成
== n4 metr_la 773995 完成
== n4 metr_la 716939 完成
== n4 metr_la 717821 完成
== n4 metr_la: eligible=57
== n4 monash:covid_deaths: eligible=0
== n4 noaa_global_hourly: eligible=0
n4: N4_ROSTER_ELIGIBLE dataset=monash:traffic_hourly roster=6
